WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
40,Washington,Citi Open,31/07/17,International,Outdoor,Hard,1st Round,3,Sabalenka A.,Davis L.,121,34,500,1476,7,5,6,3,,,2,0,Completed,2.75,1.4,2.85,1.37,3.25,1.36,3.5,1.34,3.5,1.4,3.16,1.35
40,Washington,Citi Open,31/07/17,International,Outdoor,Hard,1st Round,3,Goerges J.,Abanda F.,40,131,1290,436,6,4,6,4,,,2,0,Completed,1.28,3.5,1.25,3.6,1.25,4,1.27,4.16,1.28,4.33,1.24,4.01
40,Washington,Citi Open,31/07/17,International,Outdoor,Hard,1st Round,3,Andreescu B.,Giorgi C.,167,83,324,712,5,7,6,3,6,4,2,1,Completed,3.4,1.3,3.2,1.3,3.25,1.36,3.4,1.36,3.45,1.37,3.25,1.33
40,Washington,Citi Open,31/07/17,International,Outdoor,Hard,1st Round,3,Errani S.,Ozaki R.,103,78,603,738,7,6,6,2,,,2,0,Completed,1.66,2.1,1.72,2,1.73,2.1,1.7,2.27,1.77,2.27,1.72,2.11
40,Washington,Citi Open,01/08/17,International,Outdoor,Hard,1st Round,3,Dodin O.,Jankovic J.,55,69,1098,885,4,6,6,3,2,0,1,1,Retired,1.72,2,1.72,2,1.73,2.1,1.86,2.03,1.86,2.2,1.74,2.07
40,Washington,Citi Open,01/08/17,International,Outdoor,Hard,1st Round,3,Duque-Marino M.,Rogers S.,115,60,519,978,6,4,6,1,,,2,0,Completed,2.75,1.4,2.85,1.37,3,1.36,3.46,1.35,3.5,1.4,3.18,1.34
40,Washington,Citi Open,01/08/17,International,Outdoor,Hard,1st Round,3,Petkovic A.,Nara K.,102,98,605,625,6,4,7,6,,,2,0,Completed,1.61,2.2,1.62,2.15,1.67,2.2,1.69,2.29,1.69,2.3,1.64,2.23
40,Washington,Citi Open,01/08/17,International,Outdoor,Hard,1st Round,3,Van Uytvanck A.,Cepelova J.,104,92,601,656,7,5,0,6,6,1,2,1,Completed,1.72,2,1.75,1.95,1.8,2,1.94,1.94,1.94,2.05,1.82,1.96
40,Washington,Citi Open,01/08/17,International,Outdoor,Hard,1st Round,3,Halep S.,Stephens S.,2,957,5770,10,7,6,6,0,,,2,0,Completed,1.18,4.5,1.17,4.4,1.2,4.5,1.2,5.11,1.2,5.25,1.18,4.68
40,Washington,Citi Open,01/08/17,International,Outdoor,Hard,1st Round,3,Makarova E.,Loeb J.,58,156,1025,345,7,6,6,3,,,2,0,Completed,1.28,3.5,1.27,3.45,1.28,3.75,1.32,3.66,1.32,3.8,1.29,3.53
40,Washington,Citi Open,01/08/17,International,Outdoor,Hard,1st Round,3,Puig M.,Chirico L.,67,150,905,356,6,4,6,4,,,2,0,Completed,1.33,3.25,1.33,3.05,1.36,3.25,1.35,3.44,1.36,3.44,1.34,3.23
40,Washington,Citi Open,01/08/17,International,Outdoor,Hard,1st Round,3,Tig P.M.,Watson H.,134,75,421,746,7,6,7,6,,,2,0,Completed,4.5,1.18,4.2,1.19,4.33,1.22,4.29,1.26,4.57,1.26,4.22,1.22
