ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
45,Washington,Citi Open,02/08/2021,ATP500,Outdoor,Hard,1st Round,3,Berankis R.,Krueger M.,86,174,873,422,7,6,6,2,,,,,,,2,0,Completed,1.66,2.2,1.85,2.05,1.85,2.3,1.72,2.1
45,Washington,Citi Open,02/08/2021,ATP500,Outdoor,Hard,1st Round,3,Galan D.E.,Paul T.,113,55,725,1193,6,4,6,3,,,,,,,2,0,Completed,3,1.4,3.61,1.33,3.61,1.4,3.13,1.35
45,Washington,Citi Open,02/08/2021,ATP500,Outdoor,Hard,1st Round,3,Seppi A.,Uchiyama Y.,88,123,863,674,3,6,7,5,6,3,,,,,2,1,Completed,1.61,2.3,1.62,2.43,1.71,2.43,1.61,2.29
45,Washington,Citi Open,02/08/2021,ATP500,Outdoor,Hard,1st Round,3,Brooksby J.,Anderson K.,130,75,642,958,7,6,6,3,,,,,,,2,0,Completed,2.3,1.61,2.38,1.65,2.43,1.68,2.27,1.61
45,Washington,Citi Open,02/08/2021,ATP500,Outdoor,Hard,1st Round,3,Giron M.,Marchenko I.,64,157,1047,482,4,6,6,4,7,6,,,,,2,1,Completed,1.4,3,1.44,2.97,1.55,3,1.45,2.71
45,Washington,Citi Open,02/08/2021,ATP500,Outdoor,Hard,1st Round,3,Ivashka I.,Gerasimov E.,65,78,1038,926,7,5,6,4,,,,,,,2,0,Completed,1.44,2.75,1.43,3.01,1.5,3.15,1.43,2.8
45,Washington,Citi Open,03/08/2021,ATP500,Outdoor,Hard,1st Round,3,Nishikori K.,Querrey S.,67,68,1003,1003,6,4,6,3,,,,,,,2,0,Completed,1.53,2.5,1.58,2.52,1.61,2.55,1.55,2.41
45,Washington,Citi Open,03/08/2021,ATP500,Outdoor,Hard,1st Round,3,Pospisil V.,Gomez E.,61,165,1105,457,4,6,6,3,6,3,,,,,2,1,Completed,1.53,2.5,1.6,2.47,1.63,2.55,1.56,2.4
45,Washington,Citi Open,03/08/2021,ATP500,Outdoor,Hard,1st Round,3,Sock J.,Nishioka Y.,192,56,373,1155,6,7,4,0,,,,,,,0,1,Retired,1.72,2.1,1.74,2.21,1.8,2.31,1.71,2.12
45,Washington,Citi Open,03/08/2021,ATP500,Outdoor,Hard,1st Round,3,Ruusuvuori E.,Gunneswaran P.,69,158,1002,481,2,6,6,1,6,1,,,,,2,1,Completed,1.28,3.75,1.29,3.98,1.3,4.1,1.27,3.72
45,Washington,Citi Open,03/08/2021,ATP500,Outdoor,Hard,1st Round,3,Kudla D.,Lopez F.,103,92,778,832,6,3,6,7,6,3,,,,,2,1,Completed,1.57,2.37,1.53,2.67,1.57,2.73,1.52,2.51
45,Washington,Citi Open,03/08/2021,ATP500,Outdoor,Hard,1st Round,3,Nakashima B.,Popyrin A.,89,72,858,970,6,3,6,3,,,,,,,2,0,Completed,1.8,2,1.8,2.11,1.87,2.23,1.78,2.02
45,Washington,Citi Open,03/08/2021,ATP500,Outdoor,Hard,1st Round,3,Sandgren T.,Duckworth J.,83,80,897,923,6,3,2,6,6,2,,,,,2,1,Completed,2.1,1.72,2.21,1.73,2.38,1.77,2.17,1.69
45,Washington,Citi Open,03/08/2021,ATP500,Outdoor,Hard,1st Round,3,Johnson S.,Ramanathan R.,81,204,921,355,6,3,7,6,,,,,,,2,0,Completed,1.4,3,1.35,3.46,1.5,3.46,1.35,3.15
45,Washington,Citi Open,03/08/2021,ATP500,Outdoor,Hard,1st Round,3,Ymer E.,Thompson J.,168,62,434,1077,3,6,7,5,6,3,,,,,2,1,Completed,2.5,1.53,2.47,1.6,2.65,1.6,2.46,1.53
45,Washington,Citi Open,04/08/2021,ATP500,Outdoor,Hard,1st Round,3,Mcdonald M.,Kyrgios N.,107,77,770,928,6,4,6,4,,,,,,,2,0,Completed,2.75,1.44,3.01,1.43,3.01,1.51,2.74,1.44
