WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
38,Washington,Citi Open,01/08/2022,WTA250,Outdoor,Hard,1st Round,3,Halep S.,Bucsa C.,16,123,2415,524,6,3,7,5,,,2,0,Completed,1.08,8,1.09,8.86,1.12,9,1.08,7.72
38,Washington,Citi Open,01/08/2022,WTA250,Outdoor,Hard,1st Round,3,Saville D.,Bjorklund M.,88,126,708,494,3,6,7,5,7,6,2,1,Completed,1.57,2.37,1.5,2.77,1.6,2.77,1.51,2.52
38,Washington,Citi Open,01/08/2022,WTA250,Outdoor,Hard,1st Round,3,Pegula J.,Baptiste H.,7,148,3087,417,6,2,6,2,,,2,0,Completed,1.12,6,1.14,6.53,1.14,7,1.12,6.05
38,Washington,Citi Open,01/08/2022,WTA250,Outdoor,Hard,1st Round,3,Zhu L.,Dart H.,97,85,675,732,6,4,6,3,,,2,0,Completed,2,1.8,2.12,1.79,2.12,1.83,2.01,1.77
38,Washington,Citi Open,01/08/2022,WTA250,Outdoor,Hard,1st Round,3,Vekic D.,Sherif M.,86,47,726,1147,6,4,6,1,,,2,0,Completed,1.4,3,1.41,3.12,1.41,3.25,1.36,3.04
38,Washington,Citi Open,01/08/2022,WTA250,Outdoor,Hard,1st Round,3,Kanepi K.,Minnen G.,37,99,1317,657,6,3,6,3,,,2,0,Completed,1.44,2.75,1.46,2.91,1.5,3,1.43,2.76
38,Washington,Citi Open,02/08/2022,WTA250,Outdoor,Hard,1st Round,3,Marino R.,Williams V.,111,N/A,597,N/A,4,6,6,1,6,4,2,1,Completed,1.25,4,1.23,4.67,1.25,4.67,1.21,4.25
38,Washington,Citi Open,02/08/2022,WTA250,Outdoor,Hard,1st Round,3,Samsonova L.,Mertens E.,60,30,1000,1515,7,6,6,4,,,2,0,Completed,2.62,1.5,2.74,1.51,2.75,1.55,2.56,1.49
38,Washington,Citi Open,02/08/2022,WTA250,Outdoor,Hard,1st Round,3,Petkovic A.,Tauson C.,68,49,856,1132,6,2,6,2,,,2,0,Completed,2.3,1.61,2.46,1.61,2.63,1.63,2.33,1.59
38,Washington,Citi Open,02/08/2022,WTA250,Outdoor,Hard,1st Round,3,Kalinskaya A.,Brengle M.,71,61,828,951,6,3,6,0,,,2,0,Completed,1.72,2.1,1.76,2.17,1.8,2.34,1.72,2.1
