WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
33,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,3,Cirstea S.,Parmentier P.,52,70,1211,911,6,4,6,1,,,2,0,Completed,1.5,2.5,1.55,2.4,1.5,2.5,1.53,2.71,1.57,2.25,1.58,2.74,1.52,2.48
33,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,3,Morita A.,Gajdosova J.,85,76,776,837,6,4,6,3,,,2,0,Completed,2.5,1.5,2.4,1.55,2.5,1.5,2.86,1.49,2.38,1.53,2.86,1.58,2.5,1.51
33,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,3,Giorgi C.,Pennetta F.,145,17,449,2470,6,4,6,3,,,2,0,Completed,3.5,1.28,3.3,1.3,3.75,1.29,3.54,1.35,3.25,1.29,3.75,1.35,3.35,1.31
33,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,3,Li N.,Pervak K.,11,41,3245,1475,6,3,6,1,,,2,0,Completed,1.11,6.5,1.13,5.5,1.1,7,1.13,7.03,1.1,6,1.13,8,1.11,6.32
33,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,3,Lisicki S.,Martic P.,15,45,2697,1351,6,4,6,2,,,2,0,Completed,1.5,2.5,1.53,2.45,1.53,2.38,1.62,2.45,1.57,2.25,1.65,2.53,1.58,2.34
33,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,3,Radwanska A.,Rybarikova M.,3,122,7230,565,6,3,6,3,,,2,0,Completed,1.04,13,1.06,8.75,1.05,9,1.04,15,1.05,8,1.06,16.05,1.04,10.81
33,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,3,Stosur S.,Suarez Navarro C.,5,40,6100,1495,6,1,6,3,,,2,0,Completed,1.12,6,1.13,5.5,1.12,6,1.13,7.38,1.08,6.5,1.15,7.38,1.11,6.24
33,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,3,Tatishvili A.,Tanasugarn T.,73,115,872,601,6,4,6,2,,,2,0,Completed,2,1.72,1.95,1.8,1.83,1.83,2.25,1.72,1.83,1.83,2.25,1.91,1.97,1.8
33,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,3,Hsieh S.W.,Razzano V.,63,91,1031,730,6,2,6,4,,,2,0,Completed,1.4,2.75,1.5,2.5,1.44,2.62,1.48,2.87,1.44,2.63,1.53,3,1.46,2.65
33,London,Wimbledon,25/06/12,Grand Slam,Outdoor,Grass,1st Round,3,Jovanovski B.,Daniilidou E.,117,88,594,757,5,7,6,3,2,0,1,1,Retired,1.66,2.1,1.75,2,1.57,2.25,1.76,2.19,1.62,2.2,1.76,2.25,1.69,2.12
