ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
9,Zagreb,PBZ Zagreb Indoors,01/02/10,ATP250,Indoor,Hard,1st Round,3,Melzer J.,Brands D.,32,93,1180,551,6,4,6,3,,,,,,,2,0,Completed,1.2,4.33,1.25,3.75,1.25,3.75,1.253,4.52,1.25,3.5,,,,
9,Zagreb,PBZ Zagreb Indoors,01/02/10,ATP250,Indoor,Hard,1st Round,3,Rochus O.,Kunitsyn I.,56,90,761,560,4,6,6,2,7,5,,,,,2,1,Completed,1.57,2.25,1.65,2.15,1.615,2.2,1.69,2.24,1.73,2,,,,
9,Zagreb,PBZ Zagreb Indoors,01/02/10,ATP250,Indoor,Hard,1st Round,3,Kukushkin M.,Zverev M.,124,82,441,590,6,4,6,3,,,,,,,2,0,Completed,1.57,2.25,1.6,2.25,1.615,2.2,1.714,2.29,1.73,2,,,,
9,Zagreb,PBZ Zagreb Indoors,01/02/10,ATP250,Indoor,Hard,1st Round,3,Dodig I.,Korolev E.,153,50,328,880,7,6,6,4,,,,,,,2,0,Completed,2.5,1.5,2.5,1.5,2.625,1.444,2.68,1.546,3.25,1.29,,,,
9,Zagreb,PBZ Zagreb Indoors,01/02/10,ATP250,Indoor,Hard,1st Round,3,Marchenko I.,Bolelli S.,102,109,525,494,6,2,6,4,,,,,,,2,0,Completed,2,1.72,2.05,1.75,1.9,1.8,1.926,1.926,1.83,1.83,,,,
9,Zagreb,PBZ Zagreb Indoors,01/02/10,ATP250,Indoor,Hard,1st Round,3,Troicki V.,Schuettler R.,31,96,1220,540,6,3,6,2,,,,,,,2,0,Completed,1.25,3.75,1.27,3.55,1.3,3.4,1.279,4.2,1.33,3,,,,
9,Zagreb,PBZ Zagreb Indoors,02/02/10,ATP250,Indoor,Hard,1st Round,3,Becker B.,Vinciguerra A.,41,242,961,188,1,6,6,1,7,6,,,,,2,1,Completed,1.5,2.5,1.5,2.45,1.5,2.5,1.581,2.58,1.5,2.5,,,,
9,Zagreb,PBZ Zagreb Indoors,02/02/10,ATP250,Indoor,Hard,1st Round,3,Lacko L.,Istomin D.,72,91,632,560,6,2,2,2,,,,,,,1,0,Retired,1.8,1.9,1.9,1.85,1.833,1.833,1.917,2.01,1.8,1.91,,,,
9,Zagreb,PBZ Zagreb Indoors,02/02/10,ATP250,Indoor,Hard,1st Round,3,Petzschner P.,Rochus C.,84,87,582,575,6,7,6,3,6,1,,,,,2,1,Completed,1.4,2.75,1.4,2.85,1.444,2.625,1.463,2.98,1.44,2.63,,,,
9,Zagreb,PBZ Zagreb Indoors,02/02/10,ATP250,Indoor,Hard,1st Round,3,Koellerer D.,Golubev A.,75,105,627,507,6,3,3,6,6,3,,,,,2,1,Completed,3.25,1.33,3.35,1.3,3.4,1.3,3.14,1.426,,,,,,
