WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
59,Zhuhai,WTA Elite Trophy,31/10/17,Tour Championships,Indoor,Hard,Round Robin,3,Vandeweghe C.,Peng S.,12,27,2819,1745,3,6,6,3,6,2,2,1,Completed,1.61,2.25,1.62,2.15,1.67,2.2,1.63,2.44,1.76,2.44,1.64,2.25
59,Zhuhai,WTA Elite Trophy,31/10/17,Tour Championships,Indoor,Hard,Round Robin,3,Goerges J.,Rybarikova M.,18,22,2060,1999,6,1,7,6,,,2,0,Completed,1.57,2.37,1.5,2.4,1.53,2.5,1.56,2.6,1.63,2.6,1.56,2.42
59,Zhuhai,WTA Elite Trophy,31/10/17,Tour Championships,Indoor,Hard,Round Robin,3,Pavlyuchenkova A.,Kerber A.,14,19,2425,2042,6,3,3,6,6,2,2,1,Completed,1.83,1.9,1.72,2,1.8,2,1.78,2.16,1.85,2.2,1.76,2.07
59,Zhuhai,WTA Elite Trophy,01/11/17,Tour Championships,Indoor,Hard,Round Robin,3,Rybarikova M.,Mladenovic K.,22,10,1999,2885,7,5,1,6,7,6,2,1,Completed,1.36,3,1.37,2.85,1.4,3,1.46,2.94,1.46,3.15,1.4,2.95
59,Zhuhai,WTA Elite Trophy,01/11/17,Tour Championships,Indoor,Hard,Round Robin,3,Barty A.,Pavlyuchenkova A.,20,14,2031,2425,6,4,6,1,,,2,0,Completed,1.8,1.9,1.85,1.85,1.91,1.91,2.03,1.88,2.03,2.05,1.87,1.93
59,Zhuhai,WTA Elite Trophy,01/11/17,Tour Championships,Indoor,Hard,Round Robin,3,Sevastova A.,Stephens S.,15,13,2295,2722,7,5,6,3,,,2,0,Completed,2,1.72,2,1.72,2.1,1.73,2.11,1.81,2.15,1.83,2.06,1.76
59,Zhuhai,WTA Elite Trophy,02/11/17,Tour Championships,Indoor,Hard,Round Robin,3,Barty A.,Kerber A.,20,19,2031,2042,6,3,6,4,,,2,0,Completed,1.5,2.5,1.47,2.5,1.5,2.62,1.54,2.66,1.57,2.75,1.51,2.55
59,Zhuhai,WTA Elite Trophy,02/11/17,Tour Championships,Indoor,Hard,Round Robin,3,Sevastova A.,Strycova B.,15,23,2295,1965,6,3,6,4,,,2,0,Completed,2,1.72,2.1,1.65,2.1,1.73,2.38,1.65,2.38,1.8,2.14,1.71
59,Zhuhai,WTA Elite Trophy,02/11/17,Tour Championships,Indoor,Hard,Round Robin,3,Vandeweghe C.,Vesnina E.,12,17,2819,2195,6,3,6,2,,,2,0,Completed,1.44,2.62,1.47,2.5,1.53,2.5,1.53,2.7,1.56,2.75,1.5,2.6
59,Zhuhai,WTA Elite Trophy,03/11/17,Tour Championships,Indoor,Hard,Round Robin,3,Goerges J.,Mladenovic K.,18,10,2060,2885,6,2,7,6,,,2,0,Completed,1.28,3.5,1.27,3.45,1.3,3.5,1.27,4.18,1.35,4.25,1.29,3.65
59,Zhuhai,WTA Elite Trophy,03/11/17,Tour Championships,Indoor,Hard,Round Robin,3,Peng S.,Vesnina E.,27,17,1745,2195,6,2,1,0,,,1,0,Retired,1.61,2.2,1.55,2.3,1.61,2.25,1.6,2.52,1.66,2.55,1.6,2.33
59,Zhuhai,WTA Elite Trophy,03/11/17,Tour Championships,Indoor,Hard,Round Robin,3,Strycova B.,Stephens S.,23,13,1965,2722,5,0,,,,,0,0,Retired,1.61,2.2,1.62,2.15,1.67,2.2,1.71,2.28,1.77,2.3,1.69,2.18
59,Zhuhai,WTA Elite Trophy,04/11/17,Tour Championships,Indoor,Hard,Semifinals,3,Goerges J.,Sevastova A.,18,15,2060,2295,6,3,6,3,,,2,0,Completed,1.57,2.37,1.55,2.3,1.57,2.37,1.62,2.48,1.71,2.48,1.61,2.31
59,Zhuhai,WTA Elite Trophy,04/11/17,Tour Championships,Indoor,Hard,Semifinals,3,Vandeweghe C.,Barty A.,12,20,2819,2031,6,3,6,3,,,2,0,Completed,2.2,1.66,2.15,1.62,2.25,1.61,2.42,1.65,2.42,1.75,2.21,1.67
59,Zhuhai,WTA Elite Trophy,05/11/17,Tour Championships,Indoor,Hard,The Final,3,Goerges J.,Vandeweghe C.,18,12,2060,2819,7,5,6,1,,,2,0,Completed,2.1,1.72,2,1.72,2,1.8,2.15,1.8,2.28,1.83,2.12,1.73
