WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
56,Zhuhai,WTA Elite Trophy,24/10/2023,Tour Championships,Indoor,Hard,Round Robin,3,Haddad Maia B.,Keys M.,19,11,2210,2737,6,4,6,4,,,2,0,Completed,2.38,1.57,2.61,1.54,2.61,1.58,2.46,1.54
56,Zhuhai,WTA Elite Trophy,24/10/2023,Tour Championships,Indoor,Hard,Round Robin,3,Krejcikova B.,Linette M.,10,23,2775,1876,6,2,6,4,,,2,0,Completed,1.22,4.33,1.28,3.97,1.28,4.45,1.24,4.01
56,Zhuhai,WTA Elite Trophy,24/10/2023,Tour Championships,Indoor,Hard,Round Robin,3,Zhu L.,Kudermetova V.,37,16,1272,2460,7,6,6,1,,,2,0,Completed,4,1.25,4.13,1.26,4.33,1.3,3.92,1.25
56,Zhuhai,WTA Elite Trophy,25/10/2023,Tour Championships,Indoor,Hard,Round Robin,3,Garcia C.,Keys M.,20,11,2035,2737,6,3,7,6,,,2,0,Completed,2,1.8,1.97,1.89,2,1.99,1.92,1.87
56,Zhuhai,WTA Elite Trophy,25/10/2023,Tour Championships,Indoor,Hard,Round Robin,3,Kasatkina D.,Krejcikova B.,17,10,2410,2775,7,5,1,6,6,1,2,1,Completed,2.75,1.44,3.01,1.43,3.07,1.55,2.82,1.42
56,Zhuhai,WTA Elite Trophy,25/10/2023,Tour Championships,Indoor,Hard,Round Robin,3,Zheng Q.,Vekic D.,18,24,2275,1815,6,4,6,7,6,4,2,1,Completed,1.29,3.75,1.33,3.58,1.36,3.75,1.29,3.53
56,Zhuhai,WTA Elite Trophy,26/10/2023,Tour Championships,Indoor,Hard,Round Robin,3,Kasatkina D.,Linette M.,17,23,2410,1876,6,3,6,4,,,2,0,Completed,1.33,3.4,1.37,3.3,1.38,3.4,1.34,3.21
56,Zhuhai,WTA Elite Trophy,26/10/2023,Tour Championships,Indoor,Hard,Round Robin,3,Ostapenko J.,Vekic D.,13,24,2615,1815,4,6,6,4,6,1,2,1,Completed,1.53,2.5,1.55,2.56,1.63,2.6,1.53,2.46
56,Zhuhai,WTA Elite Trophy,26/10/2023,Tour Championships,Indoor,Hard,Round Robin,3,Samsonova L.,Zhu L.,15,37,2545,1272,2,6,6,2,6,1,2,1,Completed,1.29,3.75,1.29,3.85,1.34,3.85,1.28,3.6
56,Zhuhai,WTA Elite Trophy,27/10/2023,Tour Championships,Indoor,Hard,Round Robin,3,Haddad Maia B.,Garcia C.,19,20,2210,2035,6,1,7,6,,,2,0,Completed,2.3,1.62,2.42,1.61,2.42,1.67,2.3,1.61
56,Zhuhai,WTA Elite Trophy,27/10/2023,Tour Championships,Indoor,Hard,Round Robin,3,Kudermetova V.,Samsonova L.,16,15,2460,2545,6,4,3,6,7,5,2,1,Completed,3.2,1.36,2.9,1.45,3.2,1.47,2.88,1.41
56,Zhuhai,WTA Elite Trophy,27/10/2023,Tour Championships,Indoor,Hard,Round Robin,3,Zheng Q.,Ostapenko J.,18,13,2275,2615,6,4,1,6,6,2,2,1,Completed,1.5,2.63,1.61,2.43,1.61,2.63,1.55,2.43
56,Zhuhai,WTA Elite Trophy,28/10/2023,Tour Championships,Indoor,Hard,Semifinals,3,Haddad Maia B.,Kasatkina D.,19,17,2210,2410,6,4,6,1,,,2,0,Completed,1.8,1.91,1.8,2.14,1.92,2.14,1.81,1.98
56,Zhuhai,WTA Elite Trophy,28/10/2023,Tour Championships,Indoor,Hard,Semifinals,3,Zheng Q.,Zhu L.,18,37,2275,1272,7,5,4,6,6,1,2,1,Completed,1.17,4.5,1.2,5.21,1.22,5.21,1.19,4.51
56,Zhuhai,WTA Elite Trophy,29/10/2023,Tour Championships,Indoor,Hard,The Final,3,Haddad Maia B.,Zheng Q.,19,18,2210,2275,7,6,7,6,,,2,0,Completed,2.2,1.67,2.13,1.81,2.24,1.81,2.09,1.73
